"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019017","2019-01-17","h24v06","2020286174326",1,820
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019033","2019-02-02","h24v06","2020287233814",1,830
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019049","2019-02-18","h24v06","2020288235242",1,867
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019065","2019-03-06","h24v06","2020290172122",1,913
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019081","2019-03-22","h24v06","2020291172115",1,858
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019097","2019-04-07","h24v06","2020292132348",1,809
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019113","2019-04-23","h24v06","2020293160332",1,779
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019129","2019-05-09","h24v06","2020294164101",1,824
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019145","2019-05-25","h24v06","2020298035736",1,965
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019161","2019-06-10","h24v06","2020298200252",1,1118
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019177","2019-06-26","h24v06","2020303065558",1,1174
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019193","2019-07-12","h24v06","2020304012528",1,886
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019209","2019-07-28","h24v06","2020304171320",1,990
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019225","2019-08-13","h24v06","2020306134511",1,1481
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019241","2019-08-29","h24v06","2020308173106",1,1380
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019257","2019-09-14","h24v06","2020312083840",1,1744
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019273","2019-09-30","h24v06","2020314003048",1,1144
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019289","2019-10-16","h24v06","2020315234306",1,1128
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019305","2019-11-01","h24v06","2020317182703",1,989
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019321","2019-11-17","h24v06","2020319014452",1,931
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019337","2019-12-03","h24v06","2020321212421",1,1055
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2019353","2019-12-19","h24v06","2020323182210",1,1122
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020001","2020-01-01","h24v06","2020326052842",1,834
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020017","2020-01-17","h24v06","2020328135725",1,960
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020033","2020-02-02","h24v06","2020329063158",1,861
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020049","2020-02-18","h24v06","2020335003051",1,903
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020065","2020-03-05","h24v06","2020330162129",1,892
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020081","2020-03-21","h24v06","2020335020926",1,945
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020097","2020-04-06","h24v06","2020332105145",1,846
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020113","2020-04-22","h24v06","2020333050932",1,867
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020129","2020-05-08","h24v06","2020334195414",1,782
